Una vez una señora se emborrachó,nándi na ra t'u̱xú bintí,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Luego se fue a dormir a la casa del vecino,xu̱tu̱ bimáyóhthó 'á ngŭ ra bésíno,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Después que se durmió,despwés ya biyóbí,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
En la mañana se levantó y se fue a su casa,na ra nchúdi ya binántsi bimá ra ngŭ,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Pero había mucha neblina al irse,pewi gamáya' mihtsú mikhá ra mbangwí,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Y pasó por una zanja,i bithó pa na ra chái,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Encontró una ranota,bidót'i na ra ndu̱'we̱'che̱,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Estaba muy grande,mindu̱grande,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Luego se bajó,xu̱tu̱ bigát'ya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Dijo: Me voy a llevar esta rana para ir a almorzar, qué no tengo nada para almorzar",binina este máháxkhó na ra 'we̱'pa dámáchíxni té dámáchíxni ya xathó binina,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Se fue entonces,bimáya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Luego otra vez caminó como media parcela de milpa, la que va para su casa",xu̱tu̱ este pi biñó komo media parsela madé parsela k'ara hwáhi k'a mbramá pa ra ngŭ,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Iba pensando en esa rana,mbahu̱ukí k'a ra 'we̱',Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Iba pensando, iba pensando, iba pensando",mbahu̱ukí mbahu̱ukí mbahu̱ukí,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Después pues este cuando se destapó su rebozo, vió un hombre charro chiquito que estaba sentado",despwés ya' este kwando mbixo'chi k'a ra báyú binú kwando mbrahú ná chi lĕngu chinu̱hu̱ este ndu̱chařoche̱,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Estaba sentado,mbrahúya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Después cuando ya lo había visto sentado,despwés este ngu ganú mbrahúya' bigí,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Tiró su rebozo,biyén k'a ra báyú,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Entonces, pues al instante, tiró la rana",bigI biyén k'a ra 'we̱'ya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Se cayó entonces el charro chiquito,bidóhya'wi k'a ra lĕngu chařo,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"A la hora que lo tiró, otra vez creció",kwando ora biyéi bipité,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Creció y fue grande, pues sobrepasó a la señora",bité bité bingrándé bithótsithó k'ara t'u̱xúya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Ya después, desde ese momento ya no recuerda qué fue del charro",despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi khá té bimáhhu̱ k'a ra chařoya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Pero vió al charro, pues estaba muy grandote",pe bik'atsi k'a ra chařo xo mindu̱grandeche̱,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Después recordó, recordó entonces",despwés xo bindondoya'wi bindondowi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Después ya pasó como a las 7,despwés ya este binkhá komo las siete,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Y después ya hasta había recordado que pasó como a las cinco de la tarde,i despwés ya tagabénya' ya minkhá komo las sínko de la tardewi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Después ya entonces atardeció,despwés ya bindeya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
"Después su niño, sus hijos la buscaron",despwés na k'a bähtsí na k'a ya t'u̱ bihióníya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Pues entonces la buscaron,bihióníya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
Dijeron: dónde ha estado nuestra madre por más de eso,binina xikhá mäméhu̱wi akamák'a por más,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra"
