#prior	lem	pos	feat	dep	lem	pos	feat	dep
1	_	_	caus	_	_	_	Voice=Caus	_
1	_	_	dem	_	_	_	PronType=Dem	_
1	_	_	dep	_	_	_	_	_
1	_	_	du1	_	_	_	Number=Dual|Person=1	_
1	_	_	f	_	_	_	Gender=Fem	_
1	_	_	ind	_	_	_	Definite=Ind	_
1	_	_	irre	_	_	_	Mood=Irr	_
1	_	_	itg	_	_	_	PronType=Int	_
1	_	_	iv	_	_	_	Subcat=Intr	_
1	_	_	m	_	_	_	Gender=Masc	_
1	_	_	pass	_	_	_	Voice=Pass	_
1	_	_	past	_	_	_	Tense=Past	_
1	_	_	pers	_	_	_	PronType=Prs	_
1	_	_	pl	_	_	_	Number=Plur	_
1	_	_	pl1|in	_	_	_	Number=Plur|Person=1|Clusivity=In	_
1	_	_	pl1|ex	_	_	_	Number=Plur|Person=1|Clusivity=Ex	_
1	_	_	pl2	_	_	_	Number=Plur|Person=2	_
1	_	_	pl3	_	_	_	Number=Plur|Person=3	_
1	_	_	pos	_	_	_	Possessive=Yes	_
1	_	_	pres	_	_	_	Tense=Pres	_
1	_	_	prog	_	_	_	Aspect=Prog	_
1	_	_	punt	_	_	_	Tense=Past|Aspect=Punt	_
1	_	_	px1du	_	_	_	Number[psor]=Dual|Person[psor]=1	_
1	_	_	px1pl|in	_	_	_	Number[psor]=Plur|Person[psor]=1|Clusivity[psor]=In	_
1	_	_	px1pl|ex	_	_	_	Number[psor]=Plur|Person[psor]=1|Clusivity[psor]=Ex	_
1	_	_	px1sg	_	_	_	Number[psor]=Sing|Person[psor]=1	_
1	_	_	px2pl	_	_	_	Number[psor]=Plur|Person[psor]=2	_
1	_	_	px2sg	_	_	_	Number[psor]=Sing|Person[psor]=2	_
1	_	_	px3pl	_	_	_	Number[psor]=Plur|Person[psor]=3	_
1	_	_	px3sg	_	_	_	Number[psor]=Sing|Person[psor]=3	_
1	_	_	refl	_	_	_	Reflexive=Yes	_
1	_	_	rel	_	_	_	_	_
1	_	_	sg	_	_	_	Number=Sing	_
1	_	_	sg1	_	_	_	Number=Sing|Person=1	_
1	_	_	sg2	_	_	_	Number=Sing|Person=2	_
1	_	_	sg3	_	_	_	Number=Sing|Person=3	_
1	_	_	subj	_	_	_	Mood=Sub	_
1	_	_	subst	_	_	_	VerbForm=Vnoun	_
1	_	_	tv	_	_	_	Subcat=Tran	_
1	_	_	c1	_	_	_	NumType=Clf	_
1	_	_	c2	_	_	_	NumType=Clf	_
1	_	_	c3	_	_	_	NumType=Clf	_
1	_	_	c4	_	_	_	NumType=Clf	_
1	_	_	alien	_	_	_	_	_
1	_	_	ant	_	_	_	_	_
1	_	_	top	_	_	_	_	_
1	_	_	loc	_	_	_	_	_
1	_	_	stat	_	_	_	_	_
1	_	qst	_	_	_	PART	PronType=Int	_
1	_	adj	_	_	_	ADJ	_	_
1	_	adv	_	_	_	ADV	_	_
1	_	cm	_	_	_	PUNCT	_	_
1	_	cnjcoo	_	_	_	CCONJ	_	_
1	_	cnjsub	_	_	_	SCONJ	_	_
1	_	cop	_	_	_	AUX	_	_
1	_	det	_	_	_	DET	_	_
1	_	emph	_	_	_	PART	_	_
1	_	evid	_	_	_	PART	Evident=Nfh	_
1	_	guio	_	_	_	PUNCT	_	_
1	_	ij	_	_	_	INTJ	_	_
1	_	lpar	_	_	_	PUNCT	_	_
1	_	lquest	_	_	_	PUNCT	_	_
1	_	lquot	_	_	_	PUNCT	_	_
1	_	n	_	_	_	NOUN	_	_
1	_	np	_	_	_	PROPN	_	_
1	_	num	_	_	_	NUM	_	_
1	_	part	_	_	_	PART	_	_
1	_	pr	_	_	_	ADP	_	_
1	_	prn	_	_	_	PRON	_	_
1	_	rpar	_	_	_	PUNCT	_	_
1	_	rquot	_	_	_	PUNCT	_	_
1	_	sent	_	_	_	PUNCT	_	_
1	_	v	_	_	_	VERB	_	_
